group,scan,side,case,parameter_value_display,distance_nm,distance_over_lambda_D,phi_profile_mV
CH,Cdl_Pd,Pd,high,100.0,1.6140541869088463,0.5307262569832402,-79.42319641190036
CH,Cdl_Pd,Pd,high,100.0,1.6990044072724697,0.5586592178770949,-77.16436239888617
CH,Cdl_Pd,Pd,high,100.0,1.7839546276360934,0.5865921787709497,-74.97097998261134
CH,Cdl_Pd,Pd,high,100.0,1.8689048479997168,0.6145251396648044,-72.84106246563879
CH,Cdl_Pd,Pd,high,100.0,1.9538550683633402,0.6424581005586592,-70.77269214201351
CH,Cdl_Pd,Pd,high,100.0,2.038805288726964,0.6703910614525139,-68.76401687032313
CH,Cdl_Pd,Pd,high,100.0,2.1237555090905875,0.6983240223463687,-66.81324695248446
CH,Cdl_Pd,Pd,high,100.0,2.208705729454211,0.7262569832402235,-64.91865227465827
CH,Cdl_Pd,Pd,high,100.0,2.2936559498178344,0.7541899441340781,-63.07855967457188
CH,Cdl_Pd,Pd,high,100.0,2.378606170181458,0.7821229050279329,-61.29135050578946
CH,Cdl_Pd,Pd,high,100.0,2.4635563905450812,0.8100558659217877,-59.555458374481766
CH,Cdl_Pd,Pd,high,100.0,2.5485066109087047,0.8379888268156424,-57.8693670282818
CH,Cdl_Pd,Pd,high,100.0,2.633456831272328,0.8659217877094971,-56.23160838006943
CH,Cdl_Pd,Pd,high,100.0,2.7184070516359515,0.8938547486033519,-54.64076065218488
CH,Cdl_Pd,Pd,high,100.0,2.8033572719995754,0.9217877094972067,-53.09544662873402
CH,Cdl_Pd,Pd,high,100.0,2.888307492363199,0.9497206703910615,-51.59433200543689
CH,Cdl_Pd,Pd,high,100.0,2.9732577127268223,0.9776536312849161,-50.1361238279366
CH,Cdl_Pd,Pd,high,100.0,3.058207933090446,1.005586592178771,-48.71956901071673
CH,Cdl_Pd,Pd,high,100.0,3.1431581534540687,1.0335195530726256,-47.343452929790416
CH,Cdl_Pd,Pd,high,100.0,3.2281083738176926,1.0614525139664803,-46.00659808318661
CH,Cdl_Pd,Pd,high,100.0,3.313058594181316,1.089385474860335,-44.70786281397936
CH,Cdl_Pd,Pd,high,100.0,3.3980088145449394,1.1173184357541899,-43.44614009122037
CH,Cdl_Pd,Pd,high,100.0,3.4829590349085633,1.1452513966480447,-42.220356344655684
CH,Cdl_Pd,Pd,high,100.0,3.5679092552721867,1.1731843575418994,-41.029470349555496
CH,Cdl_Pd,Pd,high,100.0,3.65285947563581,1.2011173184357542,-39.87247215836855
CH,Cdl_Pd,Pd,high,100.0,3.7378096959994336,1.2290502793296088,-38.74838207624453
CH,Cdl_Pd,Pd,high,100.0,3.822759916363057,1.2569832402234635,-37.65624967775494
CH,Cdl_Pd,Pd,high,100.0,3.9077101367266804,1.2849162011173183,-36.59515286239278
CH,Cdl_Pd,Pd,high,100.0,3.9926603570903043,1.312849162011173,-35.56419694664999
CH,Cdl_Pd,Pd,high,100.0,4.077610577453928,1.3407821229050279,-34.56251379066414
CH,Cdl_Pd,Pd,high,100.0,4.162560797817552,1.3687150837988826,-33.58926095759303
CH,Cdl_Pd,Pd,high,100.0,4.247511018181175,1.3966480446927374,-32.643620904027394
CH,Cdl_Pd,Pd,high,100.0,4.3324612385447985,1.4245810055865922,-31.72480019988322
CH,Cdl_Pd,Pd,high,100.0,4.417411458908422,1.452513966480447,-30.832028776333278
CH,Cdl_Pd,Pd,high,100.0,4.5023616792720444,1.4804469273743015,-29.96455920044374
CH,Cdl_Pd,Pd,high,100.0,4.587311899635669,1.5083798882681563,-29.121665975275267
CH,Cdl_Pd,Pd,high,100.0,4.672262119999292,1.536312849162011,-28.302644864295015
CH,Cdl_Pd,Pd,high,100.0,4.757212340362916,1.5642458100558658,-27.50681223901953
CH,Cdl_Pd,Pd,high,100.0,4.842162560726539,1.5921787709497206,-26.73350444888179
CH,Cdl_Pd,Pd,high,100.0,4.9271127810901625,1.6201117318435754,-25.982077212375756
CH,Cdl_Pd,Pd,high,100.0,5.012063001453786,1.6480446927374302,-25.251905028590787
CH,Cdl_Pd,Pd,high,100.0,5.097013221817409,1.6759776536312847,-24.54238060830008
CH,Cdl_Pd,Pd,high,100.0,5.181963442181033,1.7039106145251395,-23.852914323815384
CH,Cdl_Pd,Pd,high,100.0,5.266913662544656,1.7318435754189943,-23.182933676864206
CH,Cdl_Pd,Pd,high,100.0,5.35186388290828,1.759776536312849,-22.53188278378626
CH,Cdl_Pd,Pd,high,100.0,5.436814103271903,1.7877094972067038,-21.899221877382935
CH,Cdl_Pd,Pd,high,100.0,5.521764323635527,1.8156424581005586,-21.284426824788543
CH,Cdl_Pd,Pd,high,100.0,5.606714543999151,1.8435754189944134,-20.686988660763117
CH,Cdl_Pd,Pd,high,100.0,5.691664764362774,1.8715083798882681,-20.106413135837478
CH,Cdl_Pd,Pd,high,100.0,5.776614984726398,1.899441340782123,-19.542220278767243
CH,Cdl_Pd,Pd,high,100.0,5.86156520509002,1.9273743016759775,-18.993943972779345
CH,Cdl_Pd,Pd,high,100.0,5.9465154254536445,1.9553072625698322,-18.461131545118036
CH,Cdl_Pd,Pd,high,100.0,6.031465645817268,1.983240223463687,-17.94334336941955
CH,Cdl_Pd,Pd,high,100.0,6.116415866180892,2.011173184357542,-17.44015248046641
CH,Cdl_Pd,Pd,high,100.0,6.201366086544515,2.0391061452513966,-16.951144200890536
CH,Cdl_Pd,Pd,high,100.0,6.286316306908137,2.067039106145251,-16.475915779414397
CH,Cdl_Pd,Pd,high,100.0,6.371266527271762,2.094972067039106,-16.014076040236013
CH,Cdl_Pd,Pd,high,100.0,6.456216747635385,2.1229050279329607,-15.56524504317993
CH,Cdl_Pd,Pd,high,100.0,6.541166967999009,2.1508379888268156,-15.12905375425187
CH,Cdl_Pd,Pd,high,100.0,6.626117188362632,2.17877094972067,-14.705143726249974
CH,Cdl_Pd,Pd,high,100.0,6.711067408726256,2.206703910614525,-14.293166789098143
CH,Cdl_Pd,Pd,high,100.0,6.796017629089879,2.2346368715083798,-13.892784749581539
CH,Cdl_Pd,Pd,high,100.0,6.880967849453502,2.2625698324022343,-13.50366910017529
CH,Cdl_Pd,Pd,high,100.0,6.965918069817127,2.2905027932960893,-13.125500736670727
CH,Cdl_Pd,Pd,high,100.0,7.05086829018075,2.318435754189944,-12.757969684313144
CH,Cdl_Pd,Pd,high,100.0,7.135818510544373,2.346368715083799,-12.400774832176966
CH,Cdl_Pd,Pd,high,100.0,7.220768730907997,2.3743016759776534,-12.053623675514018
CH,Cdl_Pd,Pd,high,100.0,7.30571895127162,2.4022346368715084,-11.71623206581962
CH,Cdl_Pd,Pd,high,100.0,7.390669171635244,2.430167597765363,-11.388323968371719
CH,Cdl_Pd,Pd,high,100.0,7.475619391998867,2.4581005586592175,-11.069631227005603
CH,Cdl_Pd,Pd,high,100.0,7.5605696123624915,2.4860335195530725,-10.75989333589666
CH,Cdl_Pd,Pd,high,100.0,7.645519832726114,2.513966480446927,-10.458857218130465
CH,Cdl_Pd,Pd,high,100.0,7.730470053089738,2.541899441340782,-10.1662770108479
CH,Cdl_Pd,Pd,high,100.0,7.815420273453361,2.5698324022346366,-9.881913856760136
CH,Cdl_Pd,Pd,high,100.0,7.900370493816986,2.5977653631284916,-9.605535701835427
CH,Cdl_Pd,Pd,high,100.0,7.985320714180609,2.625698324022346,-9.336917098966344
CH,Cdl_Pd,Pd,high,100.0,8.070270934544233,2.653631284916201,-9.075839017432779
CH,Cdl_Pd,Pd,high,100.0,8.155221154907856,2.6815642458100557,-8.822088657982116
CH,Cdl_Pd,Pd,high,100.0,8.240171375271478,2.7094972067039103,-8.575459273353902
CH,Cdl_Pd,Pd,high,100.0,8.325121595635103,2.7374301675977653,-8.335749994082361
CH,Cdl_Pd,Pd,high,100.0,8.410071815998725,2.76536312849162,-8.102765659415303
CH,Cdl_Pd,Pd,high,100.0,8.49502203636235,2.793296089385475,-7.876316653193602
CH,Cdl_Pd,Pd,high,100.0,8.579972256725974,2.8212290502793294,-7.656218744540272
CH,Cdl_Pd,Pd,high,100.0,8.664922477089597,2.8491620111731844,-7.442292933213189
CH,Cdl_Pd,Pd,high,100.0,8.74987269745322,2.877094972067039,-7.234365299480351
CH,Cdl_Pd,Pd,high,100.0,8.834822917816844,2.905027932960894,-7.032266858380993
CH,Cdl_Pd,Pd,high,100.0,8.919773138180467,2.9329608938547485,-6.83583341824022
CH,Cdl_Pd,Pd,high,100.0,9.004723358544089,2.960893854748603,-6.644905443309341
CH,Cdl_Pd,Pd,high,100.0,9.089673578907714,2.988826815642458,-6.459327920407679
CH,Cdl_Pd,Pd,high,100.0,9.174623799271338,3.0167597765363126,-6.278950229446273
CH,Cdl_Pd,Pd,high,100.0,9.259574019634961,3.0446927374301676,-6.103626017716864
CH,Cdl_Pd,Pd,high,100.0,9.344524239998584,3.072625698324022,-5.933213077833941
CH,Cdl_Pd,Pd,high,100.0,9.429474460362208,3.100558659217877,-5.767573229220682
CH,Cdl_Pd,Pd,high,100.0,9.514424680725831,3.1284916201117317,-5.606572203033333
CH,Cdl_Pd,Pd,high,100.0,9.599374901089455,3.156424581005586,-5.4500795304216565
CH,Cdl_Pd,Pd,high,100.0,9.684325121453078,3.184357541899441,-5.297968434026438
CH,Cdl_Pd,Pd,high,100.0,9.769275341816702,3.2122905027932958,-5.150115722617955
CH,Cdl_Pd,Pd,high,100.0,9.854225562180325,3.2402234636871508,-5.00640168878243
CH,Cdl_Pd,Pd,high,100.0,9.939175782543948,3.2681564245810053,-4.866710009566285
CH,Cdl_Pd,Pd,high,100.0,10.024126002907572,3.2960893854748603,-4.730927649990758
CH,Cdl_Pd,Pd,high,100.0,10.109076223271195,3.324022346368715,-4.598944769352257
CH,Cdl_Pd,Pd,high,100.0,10.194026443634819,3.3519553072625694,-4.470654630226259
CH,Cdl_Pd,Pd,high,100.0,10.278976663998442,3.3798882681564244,-4.345953510095186
CH,Cdl_Pd,Pd,high,100.0,10.363926884362066,3.407821229050279,-4.224740615523129
CH,Cdl_Pd,Pd,high,100.0,10.448877104725689,3.435754189944134,-4.106917998802482
CH,Cdl_Pd,Pd,high,100.0,10.533827325089312,3.4636871508379885,-3.9923904770000758
CH,Cdl_Pd,Pd,high,100.0,10.618777545452938,3.4916201117318435,-3.8810655533323497
CH,Cdl_Pd,Pd,high,100.0,10.70372776581656,3.519553072625698,-3.772853340801392
CH,Cdl_Pd,Pd,high,100.0,10.788677986180184,3.547486033519553,-3.667666488025678
CH,Cdl_Pd,Pd,high,100.0,10.873628206543806,3.5754189944134076,-3.5654201072013314
CH,Cdl_Pd,Pd,high,100.0,10.95857842690743,3.603351955307262,-3.4660317041317006
CH,Cdl_Pd,Pd,high,100.0,11.043528647271055,3.631284916201117,-3.3694211102648306
CH,Cdl_Pd,Pd,high,100.0,11.128478867634676,3.6592178770949717,-3.2755104166803424
CH,Cdl_Pd,Pd,high,100.0,11.213429087998302,3.6871508379888267,-3.1842239099688587
CH,Cdl_Pd,Pd,high,100.0,11.298379308361923,3.7150837988826813,-3.0954880099489257
CH,Cdl_Pd,Pd,high,100.0,11.383329528725548,3.7430167597765363,-3.0092312091679307
CH,Cdl_Pd,Pd,high,100.0,11.468279749089172,3.770949720670391,-2.925384014135194
CH,Cdl_Pd,Pd,high,100.0,11.553229969452795,3.798882681564246,-2.8438788882368815
CH,Cdl_Pd,Pd,high,100.0,11.638180189816419,3.8268156424581004,-2.7646501962839434
