L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
1.0,0.9,Au,1.895,-176.76515932963974,-6.504556658033063
1.0,0.9,Au,1.9,-176.5186026581139,-6.516884491609355
1.0,0.9,Au,1.905,-176.26474613830968,-6.529577317599566
1.0,0.9,Au,1.91,-176.00727229301268,-6.542451009864417
1.0,0.9,Au,1.915,-175.74211201926647,-6.555709023551726
1.0,0.9,Au,1.92,-175.4723311734835,-6.569198065840876
1.0,0.9,Au,1.925,-175.19449881419962,-6.583089683805069
1.0,0.9,Au,1.93,-174.91067160114386,-6.597281044457856
1.0,0.9,Au,1.935,-174.61841141886637,-6.611894053571731
1.0,0.9,Au,1.94,-174.31829400452142,-6.626899924288979
1.0,0.9,Au,1.945,-174.00927666665723,-6.642350791182189
1.0,0.9,Au,1.95,-173.68985374369186,-6.658321937330457
1.0,0.9,Au,1.955,-173.36085119394883,-6.674772064817608
1.0,0.9,Au,1.96,-173.0178346532468,-6.69192289185271
1.0,0.9,Au,1.965,-172.66409281209096,-6.709609983910501
1.0,0.9,Au,1.97,-172.2908583582552,-6.72827170660229
1.0,0.9,Au,1.975,-171.9046990061645,-6.7475796742068255
1.0,0.9,Au,1.98,-171.48956143043299,-6.768336552993401
1.0,0.9,Au,1.985,-171.05644008072133,-6.7899926204789836
1.0,0.9,Au,1.99,-170.57282679695868,-6.814173284667116
1.0,0.9,Au,1.995,-170.05274584300935,-6.840177332364583
1.0,0.9,Au,2.0,-169.361362754628,-6.874746486783649
1.0,0.9,C,2.0,-169.361362754628,-2.1498985947134592
1.0,0.9,C,2.01,-168.14399625492717,-2.174245924707476
1.0,0.9,C,2.02,-167.21421873817198,-2.19284147504258
1.0,0.9,C,2.03,-166.39485106834977,-2.2092288284390245
1.0,0.9,C,2.04,-165.64569853891913,-2.224211879027637
1.0,0.9,C,2.05,-164.94797245590817,-2.2381664006878563
1.0,0.9,C,2.06,-164.2906991857614,-2.251311866090791
1.0,0.9,C,2.07,-163.6666674479281,-2.2637925008474573
1.0,0.9,C,2.08,-163.07077242838074,-2.2757104012384053
