segment_id,material,x_nm,phi_RP_V,sigma_C_per_m2
Au,Au,0.425,-0.19547501180238464,-0.05480727770535346
Au,Au,0.43,-0.1954572198874267,-0.054816173662832424
Au,Au,0.435,-0.19543905186921692,-0.054825257671937314
Au,Au,0.44,-0.19542071000792993,-0.05483442860258081
Au,Au,0.445,-0.19540219405587494,-0.0548436865786083
Au,Au,0.45,-0.19538329889237424,-0.054853134160358655
Au,Au,0.455,-0.19536435439786173,-0.05486260640761491
Au,Au,0.46,-0.19534502898969794,-0.054872269111696806
Au,Au,0.465,-0.19532552630721106,-0.054882020452940244
Au,Au,0.47,-0.19530584608332022,-0.05489186056488567
Au,Au,0.475,-0.195285781613681,-0.05490189279970528
Au,Au,0.48,-0.19526566519584543,-0.05491195100862306
Au,Au,0.485,-0.19524516270851208,-0.054922202252289734
Au,Au,0.49,-0.1952244792683356,-0.05493254397237797
Au,Au,0.495,-0.19520361458784788,-0.054942976312621836
Au,Au,0.5,-0.19518236027314814,-0.054953603469971704
Au,Au,0.505,-0.19516105120429095,-0.0549642580044003
Au,Au,0.51,-0.19513935055094953,-0.05497510833107101
Au,Au,0.515,-0.1951174650085539,-0.054986051102268826
Au,Au,0.52,-0.19509539426816297,-0.05499708647246429
Au,Au,0.525,-0.19507292813646954,-0.05500831953831101
Au,Au,0.53,-0.19505040424729325,-0.05501958148289915
Au,Au,0.535,-0.19502748288460048,-0.055031042164245536
Au,Au,0.54,-0.19500437242761204,-0.055042597392739756
Au,Au,0.545,-0.19498107254472882,-0.055054247334181364
Au,Au,0.55,-0.19495737112908898,-0.055066098042001285
Au,Au,0.555,-0.1949336087459258,-0.055077979233582874
Au,Au,0.56,-0.1949094426099567,-0.05509006230156742
Au,Au,0.565,-0.1948850828930822,-0.05510224216000467
Au,Au,0.57,-0.19486052923975333,-0.05511451898666911
Au,Au,0.575,-0.19483556751074052,-0.055126999851175515
Au,Au,0.58,-0.19481054138727183,-0.05513951291290986
Au,Au,0.585,-0.19478510482382685,-0.05515223119463235
Au,Au,0.59,-0.19475946989808027,-0.05516504865750564
Au,Au,0.595,-0.19473363622912704,-0.055177965491982256
Au,Au,0.6,-0.1947073875214925,-0.055191089845799526
Au,Au,0.605,-0.1946810707645052,-0.05520424822429318
Au,Au,0.61,-0.19465433645333685,-0.05521761537987735
Au,Au,0.615,-0.19462739868909512,-0.055231084261998215
Au,Au,0.62,-0.1946002570639847,-0.05524465507455342
Au,Au,0.625,-0.19457269299691807,-0.05525843710808674
Au,Au,0.63,-0.1945450569855902,-0.05527225511375068
Au,Au,0.635,-0.19451699585802784,-0.055286285677531855
Au,Au,0.64,-0.19448872586138033,-0.05530042067585561
Au,Au,0.645,-0.19446024655929178,-0.055314660326899884
Au,Au,0.65,-0.19443133694973033,-0.05532911513168061
Au,Au,0.655,-0.1944023512478802,-0.05534360798260568
Au,Au,0.66,-0.1943729323972703,-0.055358317407910626
Au,Au,0.665,-0.1943432989190708,-0.05537313414701038
Au,Au,0.67,-0.19431345034654335,-0.0553880584332741
Au,Au,0.675,-0.19428316311491003,-0.05540320204909076
Au,Au,0.68,-0.19425279537557488,-0.055418385918758334
Au,Au,0.685,-0.1942219859598865,-0.05543379062660253
Au,Au,0.69,-0.19419095579684126,-0.055449305708125146
Au,Au,0.695,-0.19415970438733124,-0.055464931412880156
Au,Au,0.7,-0.19412800545500097,-0.05548078087904529
Au,Au,0.705,-0.19409622131663484,-0.055496672948228354
Au,Au,0.71,-0.1940639864525003,-0.05551279038029562
Au,Au,0.715,-0.19403152433954698,-0.05552902143677228
Au,Au,0.72,-0.19399883444412894,-0.05554536638448131
