condition_order,condition_key,display_label,edl_condition,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,net_current_A
4,janus_on_c_support,C-supported Janus,with EDL,0.6042500000000001,4.1572587322427935e-12,-6.433623950605489e-12,0.004157258732242794,-0.006433623950605489,-2.276365218362695e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6045,4.1908565854154865e-12,-6.381565133460825e-12,0.004190856585415487,-0.006381565133460825,-2.1907085480453387e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.60475,4.224726032986684e-12,-6.329927588922822e-12,0.0042247260329866835,-0.006329927588922822,-2.1052015559361385e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.605,4.2588692709619845e-12,-6.278707907718083e-12,0.004258869270961985,-0.006278707907718083,-2.019838636756098e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6052500000000001,4.293288513107238e-12,-6.227902708165593e-12,0.004293288513107238,-0.006227902708165593,-1.9346141950583547e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6055,4.327985991092095e-12,-6.177508635953467e-12,0.004327985991092095,-0.006177508635953467,-1.8495226448613718e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.60575,4.3629639546349604e-12,-6.127522363917334e-12,0.004362963954634961,-0.0061275223639173345,-1.7645584092823738e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6060000000000001,4.398224671648951e-12,-6.077940591820617e-12,0.004398224671648951,-0.006077940591820617,-1.679715920171666e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6062500000000001,4.4337704283890186e-12,-6.028760046136701e-12,0.004433770428389019,-0.006028760046136701,-1.5949896177476827e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6065,4.469603529600469e-12,-5.979977479832575e-12,0.004469603529600469,-0.005979977479832575,-1.5103739502321058e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.60675,4.5057262986683975e-12,-5.931589672154515e-12,0.004505726298668397,-0.0059315896721545145,-1.4258633734861174e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.607,4.54214107776853e-12,-5.88359342841534e-12,0.004542141077768531,-0.00588359342841534,-1.3414523506468094e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6072500000000001,4.578850228019285e-12,-5.835985579783421e-12,0.004578850228019285,-0.005835985579783421,-1.2571353517641361e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6075,4.6158561296348706e-12,-5.788762983073505e-12,0.00461585612963487,-0.005788762983073505,-1.1729068534386345e-12
