condition,C_tot_M,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,j_Au_A_per_m2,j_Pd_A_per_m2
with EDL,1.0,0.48433785192909284,1.4181341916273275e-12,-5.46428606028259e-12,0.0014181341916273274,-0.00546428606028259,0.07090670958136637,-0.27321430301412947
with EDL,1.0,0.4845881126173097,1.4263087027297147e-12,-5.432968949911669e-12,0.0014263087027297147,-0.005432968949911669,0.07131543513648572,-0.2716484474955834
with EDL,1.0,0.4848383733055266,1.4345303339369225e-12,-5.40183132527615e-12,0.0014345303339369224,-0.00540183132527615,0.07172651669684611,-0.2700915662638075
with EDL,1.0,0.48508863399374347,1.4427993568620532e-12,-5.370872157701014e-12,0.0014427993568620532,-0.005370872157701013,0.07213996784310266,-0.26854360788505066
with EDL,1.0,0.4853388946819604,1.4511160446838513e-12,-5.34009042440681e-12,0.0014511160446838514,-0.00534009042440681,0.07255580223419256,-0.26700452122034046
with EDL,1.0,0.4855891553701773,1.4594806721557467e-12,-5.309485108475893e-12,0.0014594806721557466,-0.005309485108475893,0.07297403360778733,-0.26547425542379466
with EDL,1.0,0.4858394160583942,1.4678935156149186e-12,-5.279055198818793e-12,0.0014678935156149187,-0.005279055198818793,0.07339467578074592,-0.26395275994093964
with EDL,1.0,0.4860896767466111,1.4763548529914224e-12,-5.248799690140859e-12,0.0014763548529914223,-0.0052487996901408596,0.07381774264957111,-0.2624399845070429
with EDL,1.0,0.48633993743482795,1.484864963817388e-12,-5.218717582908996e-12,0.001484864963817388,-0.005218717582908996,0.07424324819086939,-0.26093587914544975
with EDL,1.0,0.4865901981230448,1.4934241292362404e-12,-5.188807883318674e-12,0.0014934241292362403,-0.0051888078833186736,0.07467120646181201,-0.2594403941659337
with EDL,1.0,0.48684045881126176,1.5020326320119922e-12,-5.159069603261093e-12,0.0015020326320119922,-0.0051590696032610935,0.0751016316005996,-0.25795348016305464
with EDL,1.0,0.48709071949947863,1.5106907565385846e-12,-5.129501760290545e-12,0.0015106907565385847,-0.005129501760290546,0.07553453782692922,-0.25647508801452723
with EDL,1.0,0.48734098018769556,1.5193987888492865e-12,-5.100103377591927e-12,0.0015193987888492866,-0.005100103377591927,0.07596993944246432,-0.25500516887959634
with EDL,1.0,0.48759124087591244,1.5281570166261287e-12,-5.070873483948532e-12,0.0015281570166261287,-0.005070873483948532,0.07640785083130643,-0.25354367419742657
with EDL,1.0,0.4878415015641293,1.5369657292094313e-12,-5.041811113709888e-12,0.0015369657292094313,-0.005041811113709888,0.07684828646047155,-0.2520905556854944
with EDL,1.0,0.4880917622523462,1.545825217607346e-12,-5.012915306759908e-12,0.001545825217607346,-0.005012915306759908,0.0772912608803673,-0.2506457653379954
with EDL,1.0,0.4883420229405631,1.5547357745054765e-12,-4.984185108485151e-12,0.0015547357745054765,-0.004984185108485151,0.07773678872527381,-0.24920925542425754
with EDL,1.0,0.48859228362878,1.5636976942765436e-12,-4.9556195697433056e-12,0.0015636976942765436,-0.004955619569743306,0.07818488471382717,-0.24778097848716527
with EDL,1.0,0.4888425443169969,1.5727112729901183e-12,-4.927217746831788e-12,0.0015727112729901184,-0.0049272177468317885,0.07863556364950591,-0.2463608873415894
with EDL,1.0,0.4890928050052138,1.5817768084223842e-12,-4.898978701456643e-12,0.0015817768084223842,-0.004898978701456643,0.0790888404211192,-0.24494893507283214
with EDL,1.0,0.48934306569343067,1.5908946000659995e-12,-4.870901500701458e-12,0.0015908946000659995,-0.004870901500701458,0.07954473000329997,-0.2435450750350729
with EDL,1.0,0.48959332638164754,1.600064949139977e-12,-4.842985216996604e-12,0.001600064949139977,-0.004842985216996604,0.08000324745699884,-0.24214926084983018
with EDL,1.0,0.4898435870698645,1.6092881585996359e-12,-4.815228928088548e-12,0.0016092881585996358,-0.004815228928088548,0.08046440792998179,-0.24076144640442737
with EDL,1.0,0.49009384775808135,1.6185645331466138e-12,-4.7876317170094475e-12,0.0016185645331466137,-0.004787631717009447,0.08092822665733068,-0.23938158585047234
with EDL,1.0,0.4903441084462983,1.6278943792389363e-12,-4.760192672046783e-12,0.0016278943792389362,-0.004760192672046783,0.0813947189619468,-0.23800963360233915
with EDL,1.0,0.49059436913451515,1.6372780051011177e-12,-4.732910886713307e-12,0.0016372780051011177,-0.004732910886713307,0.08186390025505588,-0.23664554433566531
with EDL,1.0,0.490844629822732,1.6467157207343857e-12,-4.705785459717035e-12,0.0016467157207343858,-0.004705785459717035,0.08233578603671927,-0.23528927298585176
with EDL,1.0,0.4910948905109489,1.6562078379268832e-12,-4.678815494931514e-12,0.001656207837926883,-0.0046788154949315135,0.08281039189634415,-0.23394077474657568
with EDL,1.0,0.49134515119916583,1.6657546702639965e-12,-4.652000101366195e-12,0.0016657546702639964,-0.004652000101366195,0.08328773351319982,-0.2326000050683097
with EDL,1.0,0.4915954118873827,1.6753565331386915e-12,-4.625338393137016e-12,0.0016753565331386914,-0.004625338393137016,0.08376782665693457,-0.23126691965685078
