material,condition,curve_source,C_tot_M,C_tot_mol_per_m3,E_mix_V,lambda_D_nm,distance_from_RP_nm,phi_bar_tilde,phi_bar_V,phi_bar_mV
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.452086113332355,-0.10281221785082206,-0.002640044278438067,-2.6400442784380673
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.499605142848257,-0.10121826215475817,-0.0025991141856587918,-2.5991141856587916
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.547124172364159,-0.09964901845123879,-0.002558818655151294,-2.558818655151294
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.59464320188006,-0.09810410361633075,-0.0025191478489394186,-2.5191478489394186
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.642162231395963,-0.09658314046588702,-0.0024800920815706965,-2.4800920815706964
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.689681260911865,-0.0950857576634587,-0.0024416418177516785,-2.4416418177516785
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.737200290427767,-0.0936115896296348,-0.0024037876700199363,-2.4037876700199363
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.784719319943669,-0.09216027645278786,-0.002366520396452159,-2.366520396452159
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.83223834945957,-0.09073146380120307,-0.0023298308984077763,-2.3298308984077765
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.879757378975471,-0.08932480283656967,-0.002293710218307567,-2.293710218307567
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.927276408491373,-0.08793995012881346,-0.002258149537446698,-2.2581495374466978
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,11.974795438007275,-0.08657656757225013,-0.0022231401738416843,-2.2231401738416845
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.022314467523177,-0.08523432230303823,-0.0021886735801107224,-2.188673580110722
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.06983349703908,-0.08391288661791176,-0.0021547413413868775,-2.1547413413868775
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.117352526554981,-0.0826119378941729,-0.002121335173263634,-2.1213351732636343
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.164871556070883,-0.08133115851092534,-0.0020884469197722994,-2.0884469197722995
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.212390585586785,-0.08007023577152805,-0.002056068551390748,-2.056068551390748
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.259909615102687,-0.07882886182725238,-0.002024192163083063,-2.024192163083063
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.30742864461859,-0.07760673360212161,-0.001992809972369546,-1.9928099723695458
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.354947674134491,-0.07640355271891663,-0.0019619143174266643,-1.9619143174266642
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.402466703650393,-0.0752190254263283,-0.0019314976552164487,-1.9314976552164487
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.449985733166296,-0.07405286252723944,-0.0019015525596448948,-1.9015525596448948
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.497504762682196,-0.07290477930811862,-0.0018720717197489149,-1.872071719748915
