L_support_nm,x_nm,material,phi_RP_V,sigma_C_per_m2,sigma_uC_per_cm2
0.0,2.210442088417684,Au,-0.15368447306645203,-0.0351241065633049,-3.51241065633049
0.0,2.220444088817763,Au,-0.15368456841744318,-0.035124087493106665,-3.5124087493106666
0.0,2.230446089217844,Au,-0.15368464009104837,-0.03512407315838563,-3.512407315838563
0.0,2.2404480896179226,Au,-0.1536846620313297,-0.035124068770329364,-3.5124068770329364
0.0,2.250450090018005,Au,-0.15368462573502398,-0.03512407602959051,-3.5124076029590507
0.0,2.2604520904180836,Au,-0.15368454325720093,-0.035124092525155116,-3.5124092525155115
0.0,2.270454090818162,Au,-0.15368444295810713,-0.03512411258497388,-3.512411258497388
0.0,2.2804560912182437,Au,-0.1536843594917477,-0.035124129278245764,-3.5124129278245766
0.0,2.2904580916183224,Au,-0.1536843215703016,-0.03512413686253498,-3.512413686253498
0.0,2.3004600920184046,Au,-0.15368434182447308,-0.03512413281170069,-3.512413281170069
0.0,2.310462092418483,Au,-0.15368441234055288,-0.035124118708484725,-3.5124118708484726
0.0,2.3204640928185647,Au,-0.15368450745112386,-0.03512409968637053,-3.5124099686370527
0.0,2.3304660932186434,Au,-0.15368459279527996,-0.03512408261753931,-3.512408261753931
0.0,2.340468093618725,Au,-0.15368463745025362,-0.03512407368654458,-3.5124073686544577
0.0,2.350470094018804,Au,-0.15368462485121198,-0.035124076206352904,-3.5124076206352903
0.0,2.3604720944188826,Au,-0.15368455864311262,-0.03512408944797278,-3.512408944797278
0.0,2.3704740948189644,Au,-0.153684461397338,-0.03512410889712771,-3.5124108897127706
0.0,2.380476095219043,Au,-0.15368436664496704,-0.035124127847601896,-3.5124127847601896
0.0,2.390478095619125,Au,-0.1536843070385785,-0.035124139768879604,-3.5124139768879603
0.0,2.400480096019203,Au,-0.15368430282205423,-0.03512414061218446,-3.512414061218446
0.0,2.410482096419282,Au,-0.153684354679883,-0.0351241302406187,-3.5124130240618703
0.0,2.420484096819364,Au,-0.15368444349176164,-0.03512411247824298,-3.5124112478242977
0.0,2.430486097219443,Au,-0.15368453708045535,-0.03512409376050423,-3.512409376050423
0.0,2.4404880976195242,Au,-0.1536846015714937,-0.03512408086229656,-3.512408086229656
0.0,2.450490098019603,Au,-0.15368461335434055,-0.03512407850572719,-3.5124078505727194
0.0,2.460492098419685,Au,-0.1536845674215316,-0.03512408769228898,-3.512408769228898
0.0,2.470494098819764,Au,-0.15368447914043643,-0.03512410534850802,-3.512410534850802
0.0,2.4804960992198453,Au,-0.15368437883076477,-0.035124125410442346,-3.5124125410442346
0.0,2.490498099619924,Au,-0.1536843010611555,-0.035124140964364205,-3.5124140964364203
0.0,2.5005001000200027,Au,-0.15368427244334407,-0.03512414668792649,-3.512414668792649
0.0,2.5105021004200845,Au,-0.15368430223362609,-0.035124140729870086,-3.5124140729870086
0.0,2.520504100820163,Au,-0.15368437906091537,-0.03512412536441223,-3.512412536441223
0.0,2.5305061012202446,Au,-0.1536844749379544,-0.035124106189004425,-3.5124106189004425
0.0,2.5405081016203233,Au,-0.15368455514070414,-0.035124090148454475,-3.5124090148454474
0.0,2.5505101020204055,Au,-0.15368459046853997,-0.03512408308288731,-3.5124083082887307
0.0,2.560512102420484,Au,-0.1536845675565014,-0.035124087665295026,-3.5124087665295027
0.0,2.5705141028205656,Au,-0.15368449359780514,-0.035124102457034276,-3.5124102457034274
0.0,2.5805161032206443,Au,-0.15368439380794208,-0.03512412241500689,-3.512412241500689
0.0,2.590518103620723,Au,-0.15368430252433593,-0.035124140671728116,-3.5124140671728115
0.0,2.600520104020805,Au,-0.15368425108312975,-0.035124150959969354,-3.5124150959969356
0.0,2.610522104420884,Au,-0.1536842567532978,-0.035124149825935744,-3.512414982593574
0.0,2.620524104820965,Au,-0.15368431663582385,-0.03512413784943053,-3.5124137849430532
0.0,2.6305261052210436,Au,-0.1536844086832381,-0.035124119439947685,-3.5124119439947683
0.0,2.6405281056211227,Au,-0.15368449948096125,-0.03512410128040305,-3.5124101280403055
0.0,2.6505301060212045,Au,-0.15368455604414816,-0.03512408996776567,-3.512408996776567
