Cdl_C_F_per_m2,C_H_support_uF_per_cm2,E_mix_with_EDL_V,x_nm,material,is_support_mask,phi_tilde,phi_RP_V,phi_RP_mV,i_Au_local_A_per_m2,i_Pd_local_A_per_m2,local_current_density_A_per_m2,support_compact_voltage_V,support_sigma_C_per_m2
0.0,0.0,0.5988338459487471,34.51890378075615,support,True,-1.9615727784702015,-0.050369879171891736,-50.36987917189174,0.0,0.0,0.0,0.14920372512063884,0.0
0.0,0.0,0.5988338459487471,34.53090618123624,support,True,-1.9750701861103925,-0.050716469825795696,-50.7164698257957,0.0,0.0,0.0,0.1495503157745428,0.0
0.0,0.0,0.5988338459487471,34.54290858171635,support,True,-1.988759214549769,-0.05106798097849925,-51.06798097849925,0.0,0.0,0.0,0.1499018269272464,0.0
0.0,0.0,0.5988338459487471,34.55491098219644,support,True,-2.0027855105365377,-0.05142815259274531,-51.428152592745306,0.0,0.0,0.0,0.15026199854149247,0.0
0.0,0.0,0.5988338459487471,34.56691338267654,support,True,-2.0172509203202154,-0.05179959990837536,-51.79959990837536,0.0,0.0,0.0,0.15063344585712246,0.0
0.0,0.0,0.5988338459487471,34.57891578315664,support,True,-2.032176580681748,-0.05218286568225983,-52.18286568225983,0.0,0.0,0.0,0.15101671163100694,0.0
0.0,0.0,0.5988338459487471,34.59091818363673,support,True,-2.047493218802649,-0.05257617110530463,-52.57617110530463,0.0,0.0,0.0,0.15141001705405177,0.0
0.0,0.0,0.5988338459487471,34.60292058411683,support,True,-2.063063583920136,-0.05297599180950592,-52.97599180950592,0.0,0.0,0.0,0.15180983775825307,0.0
0.0,0.0,0.5988338459487471,34.614922984596916,support,True,-2.078730735681443,-0.05337829783141156,-53.378297831411565,0.0,0.0,0.0,0.15221214378015868,0.0
0.0,0.0,0.5988338459487471,34.626925385077016,support,True,-2.0943763533973705,-0.05378005089536643,-53.78005089536643,0.0,0.0,0.0,0.15261389684411353,0.0
0.0,0.0,0.5988338459487471,34.638927785557115,support,True,-2.109968770585576,-0.05418043785953513,-54.180437859535125,0.0,0.0,0.0,0.1530142838082822,0.0
0.0,0.0,0.5988338459487471,34.65093018603721,support,True,-2.1255829286610926,-0.05458138309300638,-54.58138309300638,0.0,0.0,0.0,0.15341522904175353,0.0
0.0,0.0,0.5988338459487471,34.66293258651731,support,True,-2.141383387778304,-0.05498711222288095,-54.987112222880945,0.0,0.0,0.0,0.1538209581716281,0.0
0.0,0.0,0.5988338459487471,34.6749349869974,support,True,-2.1575741463321476,-0.05540286358373252,-55.40286358373252,0.0,0.0,0.0,0.1542367095324796,0.0
0.0,0.0,0.5988338459487471,34.6869373874775,support,True,-2.1743310782510177,-0.055833153321288596,-55.8331533212886,0.0,0.0,0.0,0.1546669992700357,0.0
0.0,0.0,0.5988338459487471,34.6989397879576,support,True,-2.1917400272823597,-0.05628018575813868,-56.28018575813868,0.0,0.0,0.0,0.15511403170688576,0.0
0.0,0.0,0.5988338459487471,34.71094218843769,support,True,-2.2097631636606456,-0.0567429894897345,-56.7429894897345,0.0,0.0,0.0,0.15557683543848166,0.0
0.0,0.0,0.5988338459487471,34.722944588917784,support,True,-2.2282477743506472,-0.057217643103005464,-57.217643103005464,0.0,0.0,0.0,0.1560514890517526,0.0
0.0,0.0,0.5988338459487471,34.734946989397876,support,True,-2.246977647463674,-0.05769859464146623,-57.69859464146624,0.0,0.0,0.0,0.15653244059021332,0.0
0.0,0.0,0.5988338459487471,34.746949389877976,support,True,-2.2657521356380848,-0.05818069181942396,-58.180691819423956,0.0,0.0,0.0,0.1570145377681711,0.0
0.0,0.0,0.5988338459487471,34.758951790358076,support,True,-2.284467014914604,-0.058661258341462456,-58.66125834146246,0.0,0.0,0.0,0.15749510429020952,0.0
0.0,0.0,0.5988338459487471,34.77095419083817,support,True,-2.3031684971169435,-0.05914148084924102,-59.14148084924102,0.0,0.0,0.0,0.1579753267979881,0.0
0.0,0.0,0.5988338459487471,34.78295659131826,support,True,-2.3220587691150394,-0.05962655116042791,-59.62655116042791,0.0,0.0,0.0,0.15846039710917503,0.0
0.0,0.0,0.5988338459487471,34.79495899179836,support,True,-2.3414465545250938,-0.06012439677657507,-60.12439677657507,0.0,0.0,0.0,0.15895824272532222,0.0
0.0,0.0,0.5988338459487471,34.80696139227845,support,True,-2.361654879608407,-0.06064331246702763,-60.64331246702763,0.0,0.0,0.0,0.1594771584157747,0.0
0.0,0.0,0.5988338459487471,34.81896379275856,support,True,-2.3829143979863128,-0.0611892210275975,-61.189221027597505,0.0,0.0,0.0,0.1600230669763446,0.0
