C_H_F_per_m2,c_ion_M,g,lambda_D_nm,phi_RP_V
0.12110244200629836,0.0001,5.2988551832282775,30.41217889017721,-0.16824819841349384
0.124258493812403,0.0001,5.436948694756682,30.41217889017721,-0.1689293779577716
0.12749679551238094,0.0001,5.578641062503424,30.41217889017721,-0.16959858455571483
0.13081949062143974,0.0001,5.724026076292062,30.41217889017721,-0.17025591546927946
0.13422877851695558,0.0001,5.873199970203565,30.41217889017721,-0.17090147225935043
0.13772691589429786,0.0001,6.0262614862761374,30.41217889017721,-0.1715353605340984
0.14131621826059376,0.0001,6.183311939865103,30.41217889017721,-0.17215768970158962
0.14499906146742214,0.0001,6.344455286706157,30.41217889017721,-0.17276857272696441
0.14877788328345076,0.0001,6.509798191726339,30.41217889017721,-0.173368125894469
0.15265518500805791,0.0001,6.679450099648278,30.41217889017721,-0.1739564685745975
0.15663353312700717,0.0001,6.853523307434496,30.41217889017721,-0.17453372299657258
0.1607155610112701,0.0001,7.032133038619636,30.41217889017721,-0.17510001402636485
0.16490397066012225,0.0001,7.21539751957989,30.41217889017721,-0.1756554689504267
0.16920153448966616,0.0001,7.403438057790083,30.41217889017721,-0.17620021726528964
0.1736110971679647,0.0001,7.596379122120206,30.41217889017721,-0.17673439047315162
0.17813557749800019,0.0001,7.794348425224566,30.41217889017721,-0.17725812188355577
0.18277797034970517,0.0001,7.997477008078076,30.41217889017721,-0.17777154642124263
0.1875413486423438,0.0001,8.205899326715652,30.41217889017721,-0.17827480044023536
0.19242886537855616,0.0001,8.419753341232113,30.41217889017721,-0.17876802154419894
0.19744375573141193,0.0001,8.639180607101528,30.41217889017721,-0.17925134841309506
0.20258933918585453,0.0001,8.864326368876412,30.41217889017721,-0.17972492063613857
0.20786902173595376,0.0001,9.09533965632885,30.41217889017721,-0.18018887855104324
0.21328629813942088,0.0001,9.332373383097126,30.41217889017721,-0.18064336308953147
0.21884475423087846,0.0001,9.575584447903193,30.41217889017721,-0.18108851562906728
0.22454806929541665,0.0001,9.825133838407972,30.41217889017721,-0.1815244778507594
0.230400018504007,0.0001,10.081186737773246,30.41217889017721,-0.1819513916033699
0.23640447541238452,0.0001,10.34391263400061,30.41217889017721,-0.18236939877335187
0.24256541452505476,0.0001,10.61348543211998,30.41217889017721,-0.18277864116083095
0.24888691392611964,0.0001,10.890083569301764,30.41217889017721,-0.18317926036143536
0.2553731579786673,0.0001,11.17389013296906,30.41217889017721,-0.18357139765387195
0.26202844009450843,0.0001,11.465092981987887,30.41217889017721,-0.1839551938931381
0.26885716557609746,0.0001,11.763884871015847,30.41217889017721,-0.1843307894092527
0.27586385453251416,0.0001,12.07046357809135,30.41217889017721,-0.1846983239113845
0.2830531448714409,0.0001,12.385032035548003,30.41217889017721,-0.1850579363972503
0.2904297953691134,0.0001,12.707798464340762,30.41217889017721,-0.18540976506765275
0.29799868882027614,0.0001,13.038976511872706,30.41217889017721,-0.18575394724602173
0.3057648352702308,0.0001,13.378785393413775,30.41217889017721,-0.18609061930282297
0.3137333753311133,0.0001,13.727450037204965,30.41217889017721,-0.18641991658469362
0.3219095835845982,0.0001,14.085201233344172,30.41217889017721,-0.18674197334816306
0.33029887207327885,0.0001,14.452275786552033,30.41217889017721,-0.18705692269781654
0.3389067938830388,0.0001,14.828916672919112,30.41217889017721,-0.187364896528758
0.34773904681878126,0.0001,15.215373200738002,30.41217889017721,-0.18766602547322822
0.35680147717595295,0.0001,15.611901175526874,30.41217889017721,-0.18796043885123476
0.36610008361035845,0.0001,16.01876306935381,30.41217889017721,-0.188248264625051
