material,y_nm,phi_tilde,phi_s_mV,c_Red1_over_c_bulk,c_Ox2_over_c_bulk
Au,14.825937208961388,-0.06225714073666631,-1.5986583270894317,0.9396412356837028,1.0642359679674753
Au,14.88929591498259,-0.060973534298122335,-1.5656974795882008,0.9408481396528882,1.062870784193648
Au,14.952654621003793,-0.0597163930243702,-1.533416212863916,0.9420316624533888,1.0615354449930492
Au,15.016013327024995,-0.05848517126144136,-1.5018005154433516,0.9431922266469066,1.060229263715465
Au,15.079372033046198,-0.05727933460556161,-1.470836664739291,0.9443302484036188,1.0589515709048718
Au,15.142730739067401,-0.05609835967119684,-1.4405112210943307,0.9454461375456046,1.0577017138131404
Au,15.206089445088605,-0.05494173386388125,-1.4108110219474945,0.9465402975926115,1.056479055929637
Pd,0.0,-4.145052137586406,-106.43794490982253,0.015842609934343683,63.120912787999366
Pd,0.06335870602120251,-4.059590204241094,-104.24342666219637,0.01725608913875889,57.95055831937613
Pd,0.12671741204240503,-3.9758903095405773,-102.09415459386503,0.01876258954390681,53.297547103499475
Pd,0.19007611806360752,-3.8939161240915907,-99.9891958273084,0.020365436096506043,49.10280316420835
Pd,0.25343482408481005,-3.8136320675337103,-97.92763671890583,0.022067881187051774,45.314726480707414
Pd,0.3167935301060126,-3.7350032930959323,-95.90858246237524,0.02387309245223394,41.88816350461644
Pd,0.38015223612721505,-3.65799567247166,-93.9311567003882,0.02578414083252404,38.783530019297864
Pd,0.4435109421484176,-3.5825757810055308,-91.99450114419272,0.027803988954539744,35.96606233857402
Pd,0.5068696481696201,-3.5087108831856684,-90.09777520107875,0.029935479904379118,33.40517684013193
Pd,0.5702283541908226,-3.4363689184350417,-88.24015560952421,0.03218132645420574,31.073921126992925
Pd,0.6335870602120252,-3.3655184871957857,-86.4208360818639,0.03454410080001922,28.948502836682422
Pd,0.6969457662332277,-3.2961288373004236,-84.63902695432539,0.037026224863828755,27.007884375944275
Pd,0.7603044722544301,-3.2281698506240937,-82.89395484428084,0.03962996120841936,25.23343373315113
Pd,0.8236631782756326,-3.1616120300119688,-81.1848623145651,0.042357404607630676,23.608623079324605
Pd,0.8870218842968352,-3.0964264864762123,-79.51100754471516,0.045210474309613405,22.118768167565175
Pd,0.9503805903180377,-3.0325849266569005,-77.87166400898784,0.04819090702495747,20.75080262511167
Pd,1.0137392963392402,-2.970059640541474,-76.26612016101592,0.051300250665952486,19.493082139337204
Pd,1.0770980023604426,-2.9088234894373883,-74.69367912496625,0.05453985885760591,18.335214299157357
Pd,1.1404567083816453,-2.848849894192739,-73.15365839306517,0.05791088623546019,17.267910491545486
Pd,1.2038154144028477,-2.790112823659757,-71.64538952936053,0.06141428453976561,16.28285678965294
Pd,1.2671741204240503,-2.732586783396159,-70.16821787959152,0.06505079951022975,15.372601221338442
Pd,1.3305328264452527,-2.676246804599447,-68.72150228704008,0.06882096858041503,14.530455188690537
Pd,1.3938915324664554,-2.6210684332693677,-67.30461481424112,0.0727251193659316,13.750407131933214
Pd,1.4572502384876578,-2.5670277195938094,-65.91694047043036,0.07676336893590789,13.027046804510768
Pd,1.5206089445088602,-2.5141012075535447,-64.5578769446116,0.08093562385283772,12.355498758102655
Pd,1.5839676505300628,-2.462265924741295,-63.22683434412749,0.0852415809618297,11.731363833429953
Pd,1.6473263565512652,-2.411499372390713,-61.92323493862055,0.08968072890653417,11.150667620489642
Pd,1.7106850625724679,-2.3617795156109334,-60.646512909273056,0.09425235034561584,10.609814994884264
Pd,1.7740437685936703,-2.3130847738224753,-59.39611410321706,0.09895552484057514,10.105549959045499
Pd,1.837402474614873,-2.265394011390334,-58.17149579300796,0.10378913238301626,9.634920121594899
Pd,1.9007611806360754,-2.2186865284501938,-56.9721264410572,0.1087518575271063,9.195245237542274
Pd,1.964119886657278,-2.1729420519237874,-55.79748546892182,0.11384219409096911,8.784089308757693
Pd,2.0274785926784804,-2.1281407267195,-54.647063031350825,0.11905845038910651,8.399235810073142
Pd,2.090837298699683,-2.0842631071143947,-53.520359794990156,0.12439875495662579,8.038665663082165
Pd,2.1541960047208852,-2.0412901483139243,-52.41688672165027,0.1298610627250695,7.700537628566251
Pd,2.217554710742088,-1.9992031981856617,-51.33616485604235,0.1354431616089734,7.38317083063238
Pd,2.2809134167632905,-1.957983989163465,-50.27772511789091,0.14114267946191245,7.085029162067534
Pd,2.344272122784493,-1.9176146303185575,-49.24110809833248,0.14695709136071033,6.804707351926772
Pd,2.4076308288056953,-1.8780775995940888,-48.22586386051227,0.15288372717667104,6.540918503670499
Pd,2.470989534826898,-1.8393557361997979,-47.23155174429191,0.15891977939312085,6.292482935848367
Pd,2.5343482408481006,-1.8014322331634873,-46.257740174983965,0.16506231112920744,6.058318177898408
Pd,2.597706946869303,-1.7642906300360632,-45.30400647602953,0.17130826433076973,5.83742999152192
Pd,2.6610656528905055,-1.727914805746988,-44.36993668553844,0.177654468090143,5.628904303676696
Pd,2.724424358911708,-1.6922889716070313,-43.455125376611655,0.1840976470579875,5.431899950818044
Pd,2.7877830649329107,-1.6573976644552952,-42.55917548136845,0.1906344299115933,5.245642145879682
