L_support_nm,pzc_support_V,N_modes,gl_order,lambda_D_nm,E_mix_with_V,E_mix_no_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,i_mix_abs_with_A,i_mix_abs_no_A,phi_RP_Au_mean_mV,phi_RP_Pd_mean_mV,sigma_support_signed_mean_C_per_m2,sigma_support_signed_mean_uC_per_cm2,relative_balance_with,relative_balance_no,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,overlap_reference_L_support_nm,overlap_delta_phi_RP_Au_mean_vs_15nm_mV,overlap_delta_phi_RP_Pd_mean_vs_15nm_mV,overlap_active_RP_RMS_vs_15nm_mV
3.0,0.28,960,128,3.0412178890177213,0.5623086198476035,0.46699999999999964,0.0282062348437101,0.1175603540787235,1.128249393748404e-12,4.7024141631489405e-12,-178.51114915609938,-20.984409580202474,0.05071966867197481,5.071966867197482,2.43150981544812e-15,6.0134223191460756e-15,7.963287202921524,False,15.0,-2.416857470929358,-9.5075049451909,6.936636444185917
6.0,0.28,1920,128,3.0412178890177213,0.5575609870004661,0.4670000000000002,0.027136824268235875,0.11756035407872475,1.085472970729435e-12,4.7024141631489906e-12,-176.65525241176914,-13.741768174932691,0.04167886750797817,4.167886750797817,7.776403038899332e-16,4.308123452522561e-15,7.939129563185924,False,15.0,-0.5609607265991201,-2.2648635399211177,1.6498914799541557
15.0,0.28,3840,128,3.0412178890177213,0.5561012824667969,0.4670000000000002,0.02679016787746486,0.11756035407872475,1.0716067150985946e-12,4.7024141631489906e-12,-176.09429168517002,-11.476904635011573,0.03449774070328113,3.449774070328113,1.4769426114936995e-15,4.308123452522561e-15,7.929648764395711,False,15.0,0.0,0.0,0.0
1.0,0.3,960,128,3.0412178890177213,0.575107321695853,0.4670000000000001,0.031163740865065192,0.11756035407872445,1.2465496346026078e-12,4.7024141631489785e-12,-183.27626298637918,-39.88809685238004,0.06312681989509916,6.312681989509916,2.539331890777795e-15,1.7950514385510672e-15,7.984352370841279,False,15.0,-6.128726048829662,-27.357946964989004,19.824461469618214
3.0,0.3,960,128,3.0412178890177213,0.5633537160482243,0.46699999999999964,0.028035121613301177,0.1175603540787235,1.1214048645320472e-12,4.7024141631489405e-12,-179.36355771820766,-21.83681814231073,0.04798630882323135,4.798630882323135,8.468136729292756e-16,6.0134223191460756e-15,7.972677379614394,False,15.0,-2.216020780658141,-9.306668254919694,6.764792018511682
6.0,0.3,1920,128,3.0412178890177213,0.5587761553521685,0.4670000000000002,0.026942936409057174,0.11756035407872475,1.077717456362287e-12,4.7024141631489906e-12,-177.66079635741647,-14.747312120580085,0.03925828513480698,3.925828513480698,5.874272930992996e-16,4.308123452522561e-15,7.951925832260345,False,15.0,-0.5132594198669551,-2.2171622331890504,1.6092301886868174
15.0,0.3,3840,128,3.0412178890177213,0.5573685647477427,0.4670000000000002,0.026591081009955008,0.11756035407872475,1.0636432403982005e-12,4.7024141631489906e-12,-177.14753693754952,-12.530149887391035,0.03232533447859278,3.232533447859278,1.4880004499435172e-15,4.308123452522561e-15,7.943647181572841,False,15.0,0.0,0.0,0.0
1.0,0.32,960,128,3.0412178890177213,0.5757159039136145,0.4670000000000001,0.031072730623831233,0.11756035407872445,1.2429092249532495e-12,4.7024141631489785e-12,-183.74664369683418,-40.35847756283509,0.05985068568824728,5.985068568824728,8.48923149289218e-17,1.7950514385510672e-15,7.987192784721072,False,15.0,-5.543823378867842,-26.773044295027226,19.33300129932716
3.0,0.32,960,128,3.0412178890177213,0.5643964050660742,0.46699999999999964,0.027870936508310688,0.1175603540787235,1.1148374603324276e-12,4.7024141631489405e-12,-180.2175315652549,-22.690791989357983,0.04525273155753021,4.525273155753021,3.785787439231937e-16,6.0134223191460756e-15,7.982129829644704,False,15.0,-2.0147112472885453,-9.10535872155012,6.594187548821303
6.0,0.32,1920,128,3.0412178890177213,0.5599883167608198,0.4670000000000002,0.026757069187876337,0.11756035407872475,1.0702827675150536e-12,4.7024141631489906e-12,-178.6682774467715,-15.75479320993507,0.036837410718118774,3.6837410718118773,1.6759388803036682e-15,4.308123452522561e-15,7.964799353470182,False,15.0,-0.46545712880515566,-2.1693599421272065,1.568880635558629
